chi,dp,coh,stab,rad,size,ratio
0.181818,778.623478,1.5,13.84568,1.2,10,0.5
0.25,732.1981069999999,1.5,20.161252,1.2,10,0.5
0.047619,114.52653499999997,1.5,19.121975,1.2,10,0.5
0.026316,4034.048268000006,1.5,20.765071,1.2,10,0.5
0.026316,4034.048268000006,1.5,20.765071,1.2,10,0.5
0.125,638.9761470000001,1.5,16.513589,1.2,10,0.5
0.029412,302.182041,1.5,19.211756,1.2,10,0.5
0.019608,1370.2542619999995,1.5,22.074759,1.2,10,0.5
0.019608,1370.2542619999995,1.5,22.074759,1.2,10,0.5
0.035714,3268.2328989999996,1.5,29.050119,1.2,10,0.5
0.076923,2911.293888,1.5,25.540107,1.2,10,0.5
0.083333,5027.844719000001,1.5,24.65195,1.2,10,0.5
0.076923,2911.293888,1.5,25.540107,1.2,10,0.5
0.076923,2911.293888,1.5,25.540107,1.2,10,0.5
0.076923,2911.293888,1.5,25.540107,1.2,10,0.5
0.076923,2911.293888,1.5,25.540107,1.2,10,0.5
0.083333,5027.844719000001,1.5,24.65195,1.2,10,0.5
0.076923,2911.293888,1.5,25.540107,1.2,10,0.5
0.055556,1475.395359,1.5,21.767087,1.2,10,0.5
0.03125,253.69942000000015,1.5,23.069109,1.2,10,0.5
0.03125,276.2288840000001,1.5,16.884931,1.2,10,0.5
0.021739,787.9355720000001,1.5,18.791987,1.2,10,0.5
0.055556,293.67122599999993,1.5,16.351909,1.2,10,0.5
0.055556,81.81161599999996,1.5,8.140406,1.2,10,0.5
0.023256,15199.134984000004,1.5,22.217651,1.2,10,0.5
0.023256,15199.134984000004,1.5,22.217651,1.2,10,0.5
0.125,655.7910889999999,1.5,20.18204,1.2,10,0.5
0.066667,264.909229,1.5,15.304121,1.2,10,0.5
0.045455,29.38196599999992,1.5,24.616813,1.2,10,0.5
0.076923,122.98902699999996,1.5,12.188612,1.2,10,0.5
0.027027,764.0484369999999,1.5,23.803869,1.2,10,0.5
0.027027,735.6279640000002,1.5,19.163279,1.2,10,0.5
0.0625,454.70905100000004,1.5,19.990618,1.2,10,0.5
0.026316,314.4604629999999,1.5,27.214362,1.2,10,0.5
0.043478,292.44621400000005,1.5,20.966402,1.2,10,0.5
0.066667,147.69840299999998,1.5,19.887915,1.2,10,0.5
0.066667,132.92508400000008,1.5,16.064637,1.2,10,0.5
0.02381,640.883722,1.5,17.279036,1.2,10,0.5
0.047619,723.6875719999998,1.5,29.45337,1.2,10,0.5
0.043478,1744.169455,1.5,13.87916,1.2,10,0.5
0.121212,1951.4492319999997,1.5,15.305659,1.2,10,0.5
0.020833,555.6551890000001,1.5,20.802649,1.2,10,0.5
0.016129,10456.896533000006,1.5,37.128582,1.2,10,0.5
0.016129,10456.896533000006,1.5,37.128582,1.2,10,0.5
0.016129,10456.896533000006,1.5,37.128582,1.2,10,0.5
0.016129,10456.896533000006,1.5,37.128582,1.2,10,0.5
0.04,171.40150600000015,1.5,44.201981,1.2,10,0.5
0.04,171.40150600000015,1.5,44.201981,1.2,10,0.5
0.04,171.40150600000015,1.5,44.201981,1.2,10,0.5
0.04,171.40150600000015,1.5,44.201981,1.2,10,0.5
0.04,171.40150600000015,1.5,44.201981,1.2,10,0.5
0.04,171.40150600000015,1.5,44.201981,1.2,10,0.5
0.04,171.40150600000015,1.5,44.201981,1.2,10,0.5
0.1,185.60832200000004,1.5,31.011243,1.2,10,0.5
0.1,185.60832200000004,1.5,31.011243,1.2,10,0.5
0.04,171.40150600000015,1.5,44.201981,1.2,10,0.5
0.033333,2725.319585,1.5,31.090997,1.2,10,0.5
0.033333,2725.319585,1.5,31.090997,1.2,10,0.5
0.076923,264.087396,1.5,19.797584,1.2,10,0.5
