chi,dp_norm,coh,stab,rad,size,ratio
0.250000,0.205280,2.230769,15.648800,1.725275,14.000000,0.690476
0.166667,1.000000,1.903226,12.807667,2.027668,23.000000,0.655556
0.166667,1.000000,2.000000,10.546331,1.333333,6.000000,0.666667
0.045455,0.000005,2.000000,12.370668,1.714286,22.000000,0.666667
0.200000,0.232926,2.282258,21.595062,2.031168,68.000000,0.695332
0.029412,0.069845,1.408163,23.092030,1.874822,38.000000,0.584746
0.029412,0.480333,1.642857,22.278010,1.975045,34.000000,0.621622
0.111111,0.040636,1.740000,17.798257,1.780000,25.000000,0.635036
0.055556,0.324878,1.685714,12.315248,1.719048,21.000000,0.627660
0.029412,0.069845,1.408163,23.092030,1.874822,38.000000,0.584746
0.029412,0.483682,1.642857,22.278010,1.975045,34.000000,0.621622
0.200000,0.197011,2.282258,21.595062,2.031168,68.000000,0.695332
0.250000,0.039504,2.969697,23.552892,1.773333,25.000000,0.748092
0.250000,0.219522,2.130435,26.065259,1.941520,19.000000,0.680556
0.250000,0.113557,1.569620,14.952122,2.098516,39.000000,0.610837
0.250000,0.197256,2.130435,26.065259,1.941520,19.000000,0.680556
0.250000,0.039681,2.969697,23.552892,1.773333,25.000000,0.748092
0.200000,0.119933,1.666667,19.012935,1.615385,13.000000,0.625000
0.200000,0.849994,1.750000,14.339967,1.300000,5.000000,0.636364
0.083333,0.583590,2.526316,22.950469,1.272727,12.000000,0.716418
0.083333,0.120883,1.774194,8.380878,1.891775,22.000000,0.639535
0.142857,0.005176,3.416667,17.287170,1.637363,14.000000,0.773585
0.052632,0.081795,2.437500,13.844523,1.714286,22.000000,0.709091
0.052632,0.263694,2.764706,23.584710,2.140351,19.000000,0.734375
0.125000,0.410570,1.586207,10.538626,2.108871,32.000000,0.613333
0.142857,0.400399,1.578125,23.877273,1.785714,29.000000,0.612121
0.052632,0.204789,2.764706,23.584710,2.140351,19.000000,0.734375
0.052632,0.081795,2.437500,13.844523,1.714286,22.000000,0.709091
0.037037,0.098456,1.707692,21.321518,1.820690,30.000000,0.630682
0.047619,0.053686,1.800000,10.927086,1.828571,21.000000,0.642857
0.047619,0.091643,3.080000,16.153256,1.776190,21.000000,0.754902
0.066667,0.539941,3.428571,19.042411,1.619048,15.000000,0.774194
0.066667,0.788503,1.647727,24.020321,1.836415,38.000000,0.622318
0.051282,0.832863,1.708333,23.666742,1.845528,42.000000,0.630769
0.051282,0.089857,1.626667,27.154771,1.968254,36.000000,0.619289
0.041667,0.888153,1.956044,22.797806,1.857576,45.000000,0.661710
0.041667,0.027778,2.162162,19.304675,1.923913,24.000000,0.683761
0.051282,0.832863,1.708333,23.666742,1.845528,42.000000,0.630769
0.051282,0.088912,1.626667,27.154771,1.968254,36.000000,0.619289
0.100000,0.795012,6.000000,14.593931,1.672727,11.000000,0.857143
0.100000,0.373377,2.764706,23.584710,2.140351,19.000000,0.734375
0.111111,0.751500,1.666667,15.008699,1.444444,9.000000,0.625000
0.111111,0.104483,1.384615,23.638579,1.826087,24.000000,0.580645
0.100000,0.160739,2.764706,23.584710,2.140351,19.000000,0.734375
0.100000,0.795012,6.000000,14.593931,1.672727,11.000000,0.857143
0.041667,0.047609,2.162162,19.304675,1.923913,24.000000,0.683761
0.041667,1.000000,1.700000,14.604371,1.853333,25.000000,0.629630
0.041667,0.180205,1.440000,26.149888,1.826087,24.000000,0.590164
0.041667,1.000000,1.700000,14.604371,1.853333,25.000000,0.629630
0.058824,0.046885,1.411765,20.610423,1.826087,24.000000,0.585366
0.058824,0.131400,2.444444,13.077432,1.653595,18.000000,0.709677
0.200000,0.001536,1.411765,20.610423,1.826087,24.000000,0.585366
0.200000,0.224066,2.666667,19.658626,1.735294,17.000000,0.727273
0.125000,0.465664,2.600000,13.757240,1.607143,8.000000,0.722222
0.043478,0.024013,1.590909,16.766461,1.802372,23.000000,0.614035
0.043478,0.072177,1.605505,21.554492,2.093972,48.000000,0.616197
0.052632,0.117283,1.862069,23.128689,1.815271,29.000000,0.650602
0.095238,0.480137,1.411111,18.248962,2.111538,40.000000,0.585253
0.095238,0.749542,1.625000,24.430929,1.844156,22.000000,0.619048
0.083333,0.327245,1.705882,15.897780,1.636364,12.000000,0.630435
0.083333,0.644194,1.561644,12.563501,2.102102,37.000000,0.609626
0.090909,0.245920,1.586207,10.538626,2.108871,32.000000,0.613333
0.090909,0.465018,1.937500,9.907048,1.436364,11.000000,0.659574
0.050000,0.460421,1.742857,14.843011,1.678947,20.000000,0.635417
0.100000,0.374412,1.852941,21.849702,1.558824,17.000000,0.649485
0.062500,0.040781,2.227273,20.908526,1.708333,16.000000,0.690141
0.062500,0.509246,1.404255,18.346574,2.119512,41.000000,0.584071
0.095238,0.480137,1.411111,18.248962,2.111538,40.000000,0.585253
0.095238,0.684108,1.625000,24.430929,1.844156,22.000000,0.619048
0.100000,0.381919,1.852941,21.849702,1.558824,17.000000,0.649485
0.090909,0.244342,3.230769,21.442136,2.432749,19.000000,0.763636
0.090909,0.494919,2.125000,23.827091,1.484848,12.000000,0.680000
0.090909,0.263053,3.230769,21.442136,2.432749,19.000000,0.763636
0.090909,0.494919,2.125000,23.827091,1.484848,12.000000,0.680000
0.090909,0.494919,2.125000,23.827091,1.484848,12.000000,0.680000
0.090909,0.252479,3.230769,21.442136,2.432749,19.000000,0.763636
0.166667,0.572155,2.818182,23.284733,1.802198,14.000000,0.738095
0.166667,0.581494,2.818182,23.284733,1.802198,14.000000,0.738095
0.166667,0.581368,2.818182,23.284733,1.802198,14.000000,0.738095
0.100000,0.037275,1.730337,28.395871,1.991870,42.000000,0.633745
0.200000,0.530450,1.571429,11.662222,1.266667,6.000000,0.611111
0.100000,0.030443,1.730337,28.395871,1.991870,42.000000,0.633745
0.062500,0.264724,2.227273,20.908526,1.708333,16.000000,0.690141
0.047619,0.237067,1.614035,20.611625,1.891738,27.000000,0.617450
0.047619,0.302242,1.972222,23.629014,1.800000,21.000000,0.663551
0.062500,0.109749,1.666667,18.255206,1.583333,16.000000,0.625000
0.083333,0.389485,1.692308,24.629648,1.939516,32.000000,0.628571
0.083333,0.426260,3.062500,22.197611,1.410256,13.000000,0.753846
0.083333,0.555556,1.642857,10.246610,1.696970,12.000000,0.621622
0.083333,0.013685,2.800000,21.018767,1.700000,16.000000,0.736842
0.100000,0.469363,1.442623,15.159217,1.963077,26.000000,0.590604
0.200000,0.283568,1.698795,27.946150,1.977058,39.000000,0.629464
0.200000,0.293281,1.698795,27.946150,1.977058,39.000000,0.629464
0.100000,0.080000,2.833333,21.612748,1.711111,10.000000,0.739130
0.111111,0.749893,1.657143,21.057721,1.758170,18.000000,0.623656
0.052632,0.416799,2.050000,26.041870,1.836667,25.000000,0.672131
0.052632,0.781053,1.777778,23.332102,1.748538,19.000000,0.640000
0.052632,0.453543,2.050000,26.041870,1.836667,25.000000,0.672131
0.052632,0.781053,1.777778,23.332102,1.748538,19.000000,0.640000
0.083333,0.426260,3.062500,22.197611,1.410256,13.000000,0.753846
0.083333,0.400258,1.692308,24.629648,1.939516,32.000000,0.628571
0.038462,0.122507,2.571429,21.199450,1.929231,26.000000,0.720000
0.038462,0.122507,2.571429,21.199450,1.929231,26.000000,0.720000
0.043478,0.415576,1.614035,20.611625,1.891738,27.000000,0.617450
0.090909,0.600483,1.827586,20.454611,1.836601,18.000000,0.646341
0.090909,0.176135,2.750000,21.523258,1.600000,11.000000,0.733333
0.076923,0.147821,2.051724,26.963008,1.827957,31.000000,0.672316
0.250000,0.285269,2.500000,25.836282,1.166667,4.000000,0.714286
0.142857,0.795395,1.847826,23.017266,1.714286,22.000000,0.648855
0.250000,0.434481,2.500000,25.836282,1.166667,4.000000,0.714286
0.200000,0.042254,2.000000,24.000000,1.400000,5.000000,0.666667
0.200000,0.032258,2.000000,24.000000,1.400000,5.000000,0.666667
0.090909,0.255094,4.375000,25.500251,1.752381,15.000000,0.813953
0.090909,0.154081,4.375000,25.500251,1.752381,15.000000,0.813953
0.038462,0.197832,2.392157,22.149004,2.431707,41.000000,0.705202
0.038462,0.050280,4.296296,23.700338,1.760000,26.000000,0.811189
0.071429,0.189143,1.814815,22.118249,1.783626,19.000000,0.644737
0.090909,0.279536,4.375000,25.500251,1.752381,15.000000,0.813953
0.250000,1.000000,1.750000,16.007796,1.533333,6.000000,0.636364
0.035714,0.047201,4.448276,22.950538,1.769841,28.000000,0.816456
0.035714,0.207738,2.660000,22.533232,2.372822,42.000000,0.726776
0.200000,1.000000,1.636364,15.624857,1.583333,9.000000,0.620690
0.250000,0.195122,2.500000,20.601253,1.756410,13.000000,0.714286
0.111111,1.000000,2.714286,8.746719,1.555556,9.000000,0.730769
0.111111,0.200000,2.363636,21.374591,1.636364,12.000000,0.702703
0.111111,0.479034,2.111111,10.593276,1.472222,9.000000,0.678571
0.052632,0.012978,1.906250,22.097788,1.766667,21.000000,0.655914
0.052632,0.180968,2.818182,23.964049,2.258258,37.000000,0.738095
0.111111,0.372197,2.346154,22.516011,2.431707,41.000000,0.701149
0.125000,0.030303,2.000000,13.123234,1.571429,8.000000,0.666667
0.125000,0.440672,2.400000,14.987697,1.758333,16.000000,0.705882
0.027778,0.344487,1.483871,15.758098,1.900510,49.000000,0.597403
0.027778,0.022893,2.600000,25.525513,1.860317,36.000000,0.722222
0.045455,0.344487,1.483871,15.758098,1.900510,49.000000,0.597403
0.045455,0.004878,1.852941,22.819156,1.796537,22.000000,0.649485
0.125000,0.344487,1.483871,15.758098,1.900510,49.000000,0.597403
0.045455,0.025503,1.515152,25.587692,1.960920,30.000000,0.602410
0.166667,0.257551,1.740741,19.208236,1.809117,27.000000,0.635135
0.083333,0.945309,1.523810,15.016366,1.515152,12.000000,0.603774
0.083333,0.340636,1.886364,26.022777,1.797101,24.000000,0.653543
0.250000,0.462711,2.000000,12.925639,1.333333,4.000000,0.666667
0.166667,0.125000,2.416667,16.954581,1.813187,14.000000,0.707317
0.083333,0.945309,1.523810,15.016366,1.515152,12.000000,0.603774
0.083333,0.021148,2.230769,18.796867,1.813187,14.000000,0.690476
0.142857,0.191328,2.222222,19.384549,1.500000,9.000000,0.689655
0.111111,0.120914,3.040000,22.603738,2.272425,43.000000,0.752475
0.125000,0.405491,1.909091,24.318755,1.796537,22.000000,0.656250
0.200000,0.086876,2.230769,21.177689,1.813187,14.000000,0.690476
